"","pop","income","ipaddr","ufo2010","infections"
"Adams, Pennsylvania",101482,57097,100026,4,66
"Albemarle, Virginia",102251,65934,329865,15,149
"Allegan, Michigan",112039,51232,112279,22,63
"Allegany, Maryland",74012,39408,6186,4,20
"Allen, Ohio",105141,43323,68896,7,113
"Anderson, Tennessee",75416,44872,324808,9,48
"Androscoggin, Maine",107609,45699,147043,23,113
"Angelina, Texas",87597,39325,40444,4,89
"Apache, Arizona",73195,31011,45388,16,65
"Aroostook, Maine",70868,37138,51221,6,90
"Ascension, Louisiana",112286,66173,88428,3,95
"Ashtabula, Ohio",100389,41501,65007,17,77
"Augusta, Virginia",73658,51719,255824,6,72
"Bannock, Idaho",83800,45347,131733,10,43
"Barrow, Georgia",70169,50604,52074,9,63
"Bartholomew, Indiana",79129,53692,203053,6,70
"Bartow, Georgia",100661,49060,56000,9,77
"Bastrop, Texas",74763,52882,45981,6,41
"Bay, Michigan",106935,45962,183583,9,117
"Bedford, Virginia",69590,56021,57873,7,56
"Belmont, Ohio",69671,39712,35329,8,41
"Benton, Oregon",86430,47716,231659,19,69
"Berkeley, WestVirginia",107098,52504,65036,12,119
"Berkshire, Massachusetts",130016,48705,209982,8,129
"BlackHawk, Iowa",131820,44567,228041,12,130
"Blair, Pennsylvania",127121,43243,87186,10,156
"Blount, Tennessee",124177,47298,120229,10,95
"Bonneville, Idaho",106684,51311,204874,12,90
"Boone, Kentucky",123316,68087,89077,0,140
"Bossier, Louisiana",122197,51771,53513,13,44
"Bowie, Texas",93148,43210,36248,9,52
"Bradley, Tennessee",101134,40541,67288,3,104
"Brunswick, NorthCarolina",112257,45132,65670,8,93
"Buchanan, Missouri",89706,43386,155900,0,65
"Bullitt, Kentucky",75896,51857,46231,6,49
"Bulloch, Georgia",72694,33902,116314,4,60
"Burke, NorthCarolina",90505,37440,44539,3,57
"Burleigh, NorthDakota",85774,56231,168710,6,79
"Cabell, WestVirginia",96974,35691,62557,25,61
"Cache, Utah",115520,48338,259841,1,42
"Caldwell, NorthCarolina",81930,37845,41499,1,83
"Calhoun, Alabama",117296,39467,366026,9,150
"Calvert, Maryland",89628,92981,66004,4,58
"Campbell, Kentucky",90908,53018,42066,52,84
"Canadian, Oklahoma",122560,62355,59971,11,104
"CapeGirardeau, Missouri",76950,45795,112268,6,48
"CapeMay, NewJersey",96304,55315,50715,8,63
"Carroll, Georgia",111580,45752,155120,4,97
"Carver, Minnesota",93707,82710,145312,7,73
"Cascade, Montana",81723,44074,73372,18,39
"Cass, Missouri",100376,60807,77507,12,95
"Cattaraugus, NewYork",79458,42754,97364,7,46
"Cayuga, NewYork",79552,50140,120603,6,56
"Cecil, Maryland",101696,66903,78420,9,59
"Chelan, Washington",73687,49509,51178,7,45
"Chemung, NewYork",88911,46589,111687,9,74
"Cheshire, NewHampshire",76851,55241,138329,7,77
"Christian, Kentucky",75427,37958,59585,10,110
"Christian, Missouri",79824,51961,53608,5,102
"Clallam, Washington",71863,46212,42864,29,30
"Clark, Indiana",111951,49130,88934,4,112
"Clarke, Georgia",120266,34151,1603050,9,157
"Clearfield, Pennsylvania",81184,39391,64421,7,115
"Cleveland, NorthCarolina",97474,38352,143593,6,66
"Clinton, Michigan",76001,58244,60886,3,37
"Clinton, NewYork",81654,49260,108611,6,58
"Cochise, Arizona",132088,45906,52489718,14,71
"Cole, Missouri",76363,55580,188454,0,85
"Columbia, Georgia",131627,66556,120479,4,116
"Columbiana, Ohio",106507,41003,44178,7,52
"Comal, Texas",114384,65521,53062,7,55
"Comanche, Oklahoma",126390,45947,146635,12,89
"Coryell, Texas",77231,48920,47523,6,89
"Coweta, Georgia",130929,61015,100924,6,135
"Cowlitz, Washington",101996,46461,74682,26,39
"Craighead, Arkansas",99735,40221,125076,5,78
"Craven, NorthCarolina",104770,46251,41721,12,72
"Crawford, Pennsylvania",87598,40379,113387,5,126
"Creek, Oklahoma",70651,42940,33582,6,36
"Cullman, Alabama",80440,38703,51680,11,47
"Dallas, Arkansas",71967,71691,12387,4,15
"Daviess, Indiana",97847,44763,90383,5,112
"DeBaca, NewMexico",71080,36853,22958,4,52
"DeKalb, Georgia",104704,54436,130690,5,65
"DelNorte, California",117364,38730,123005,11,71
"Dodge, Nebraska",88415,53589,49610,8,53
"Dorchester, SouthCarolina",94501,32364,80560,2,157
"Douglas, Illinois",112864,47063,283027,0,86
"Douglas, Nevada",107164,40501,82143,15,47
"Dubois, Indiana",95097,49663,64584,9,68
"Eastland, Texas",108008,54170,252872,12,75
"Eaton, Michigan",100677,46826,296571,7,138
"Ellsworth, Kansas",80629,54831,67040,5,95
"Erie, NewYork",76398,47466,41156,1,76
"Estill, Kentucky",104392,37772,66760,9,82
"Faulk, SouthDakota",118704,47649,230526,1,166
"Fayette, Alabama",107524,81498,82864,8,89
"Fisher, Texas",98359,48708,109471,21,120
"Flagler, Florida",91633,45588,69451,12,91
"Florence, Wisconsin",96177,43129,55793,11,45
"Floyd, Georgia",75283,52803,112320,8,71
"Foard, Texas",101843,52717,130409,8,86
"Forest, Wisconsin",76894,35805,117893,0,93
"Franklin, Maine",71540,52246,115704,8,72
"Franklin, Mississippi",101412,50098,66676,3,48
"Franklin, Virginia",85845,50731,48351,4,36
"Frederick, Maryland",80317,66440,89720,6,64
"Gallatin, Kentucky",92614,51391,210281,12,122
"Garfield, Washington",96903,38210,80060,10,92
"Geary, Kansas",93680,66229,77592,6,68
"Gloucester, Virginia",81022,49828,30945,0,77
"Grady, Oklahoma",89181,53000,237453,17,72
"GrandIsle, Vermont",89112,50629,99845,9,78
"Grant, Arkansas",69330,39377,74308,14,90
"Grant, SouthDakota",91723,44237,73601,11,69
"Gray, Texas",71692,42729,16291,0,8
"Grayson, Kentucky",121935,46993,82722,13,84
"Greene, Pennsylvania",68819,36310,38106,12,30
"Greenwood, Kansas",69756,39366,27358,2,35
"Greer, Oklahoma",122658,44608,81006,6,147
"Hancock, Illinois",70933,62184,39100,1,59
"Hancock, Mississippi",75671,49888,55989,8,78
"Hand, SouthDakota",100668,77506,101836,5,64
"Hardin, Iowa",107025,48743,99827,5,171
"Harmon, Oklahoma",122135,42965,247070,8,178
"Harrison, Texas",69141,40556,149845,6,107
"Henderson, Kentucky",108266,47371,61714,13,87
"Henderson, Tennessee",79094,41242,44725,5,71
"Highland, Virginia",98128,34913,49882,14,43
"Houghton, Michigan",103402,41766,64957,9,175
"Howard, Arkansas",82849,45022,122735,31,62
"Humphreys, Tennessee",87079,45253,54815,4,60
"Hunt, Texas",127050,103879,187484,21,89
"Hyde, SouthDakota",73999,42989,45430,4,73
"IndianRiver, Florida",88218,41424,101611,10,43
"Irwin, Georgia",70617,36815,182814,5,41
"Isanti, Minnesota",79177,59328,95136,7,52
"Jackson, Wisconsin",68967,75938,123815,13,59
"Jasper, Mississippi",115258,39522,69663,2,68
"Jefferson, Alabama",74723,37682,111250,2,53
"Jefferson, Nebraska",120262,45559,91159,5,131
"Jefferson, WestVirginia",84498,55615,50724,6,60
"Jones, Texas",82930,37824,60174,23,56
"Kane, Utah",113040,49266,53779,9,73
"Karnes, Texas",106753,60575,66618,8,78
"Kemper, Mississippi",118105,82649,74475,3,69
"Kenedy, Texas",121853,46904,192532,19,104
"Kootenai, Idaho",77609,51141,66226,8,74
"Kossuth, Iowa",116461,50510,430486,15,188
"LaPlata, Colorado",111246,46934,125538,2,83
"LaPorte, Indiana",112973,52469,58888,1,59
"Lafayette, Wisconsin",97029,49262,46954,4,78
"Lancaster, Pennsylvania",79089,40034,118962,3,84
"Lanier, Georgia",88173,54240,76375,7,68
"Lapeer, Michigan",94483,54156,635108,16,59
"Latimer, Oklahoma",92542,39702,43300,5,63
"Lauderdale, Alabama",80220,35420,40896,2,92
"Lawrence, Ohio",89871,43821,52996,0,87
"Leake, Mississippi",77739,62853,90329,9,54
"Lee, Kentucky",85042,41150,42354,4,97
"Lemhi, Idaho",98987,48595,91818,14,81
"Lewis, Tennessee",75621,44373,39811,17,8
"Liberty, Montana",76571,47460,40497,3,38
"Licking, Ohio",87654,47199,35388,20,38
"Lincoln, NewMexico",79313,50279,65799,1,79
"Linn, Missouri",118360,46872,64591,21,120
"Livingston, Kentucky",131942,57254,60238,8,100
"Long, Georgia",69839,51096,9581,6,13
"Lowndes, Alabama",114552,38535,105929,6,197
"Luzerne, Pennsylvania",117168,43788,158217,0,110
"Macon, Georgia",110122,45987,120974,11,72
"Madison, Illinois",130348,44035,87165,10,86
"Madison, Iowa",84786,41876,141477,11,80
"Madison, Louisiana",98468,59730,218388,4,92
"Madison, Nebraska",72382,53473,185710,5,86
"Madison, Ohio",98656,40667,109540,13,118
"Manistee, Michigan",80671,50181,45203,9,67
"Marquette, Wisconsin",94776,38563,43755,6,66
"Mathews, Virginia",81990,46552,54932,12,76
"Mckenzie, NorthDakota",73016,31947,23292,11,10
"Menard, Texas",87428,44527,59305,24,46
"Mercer, Ohio",115655,43504,86990,17,98
"Miami, Kansas",103060,51438,133285,10,91
"Midland, Michigan",83822,52465,425461,8,59
"Missoula, Montana",110977,43895,306013,25,120
"Monongalia, WestVirginia",100332,41325,191444,15,79
"Monroe, Florida",74809,53889,0,0,0
"Montgomery, Virginia",95194,44231,206102,3,73
"Moore, NorthCarolina",90302,48348,129333,7,48
"Morgan, Alabama",120395,45564,84604,1,97
"Morgan, Indiana",69356,56315,49226,2,27
"Muskingum, Ohio",85950,40590,115238,3,57
"Muskogee, Oklahoma",70596,37990,30006,3,71
"Nash, NorthCarolina",95708,45052,56378,7,123
"Nassau, Florida",74629,58933,41775,5,57
"Natrona, Wyoming",78621,53519,89718,9,59
"Navajo, Arizona",107094,38975,61587,16,54
"Nevada, California",98292,58077,75142,10,43
"Newport, RhodeIsland",82036,69369,148043,7,104
"Newton, Georgia",101505,51691,60097,4,106
"Northumberland, Pennsylvania",94428,39605,54956,1,68
"Oconee, SouthCarolina",74627,42641,50309,3,54
"Ontario, NewYork",108519,57069,98711,15,68
"Orange, Texas",82977,48833,50437,4,88
"Orangeburg, SouthCarolina",91476,33162,39687,4,68
"Oswego, NewYork",121700,47036,140356,3,202
"Ozaukee, Wisconsin",86823,75634,64241,7,54
"Parker, Texas",119712,63725,81677,14,66
"Payne, Oklahoma",78399,35716,114105,2,28
"Pennington, SouthDakota",104347,48378,153999,16,85
"Pickens, SouthCarolina",119670,42241,88572,13,105
"Platte, Missouri",92054,66487,56646,5,30
"Polk, Oregon",76353,52865,47319,12,37
"Portage, Wisconsin",70433,51887,164386,2,39
"Pottawatomie, Oklahoma",70760,41332,42785,4,42
"Pottawattamie, Iowa",92913,49924,68338,1,74
"Potter, Texas",122335,37766,130131,20,132
"Putnam, Florida",73263,34174,53645,7,85
"Putnam, NewYork",99607,92711,51978,6,85
"Putnam, Tennessee",73229,34305,133204,6,183
"Raleigh, WestVirginia",79021,38596,33879,12,56
"Randall, Texas",125082,57121,85885,4,64
"Rapides, Louisiana",132373,40470,108880,0,169
